"CycID","1","2","3","4","5","6","7","8","9","10","11","12"
"Lactococcus__Total","-0.00059129733216438","0.00121024375932558","0.00275991574565617","0.00390449504954514","0.00439559686943011","0.00408999592749343","0.00313347843990988","0.0019238522794655","0.000944568643495128","0.000485502227222818","0.000367601017797432","-0.000195429899857875"
"Ligilactobacillus__Total","0.00344493340926586","0.00290632972378155","0.000545271924604176","0.00211651063345135","0.00711982296250545","0.0113004384309317","0.0109185020651458","0.00617919850162744","0.00103202912196705","-0.000578558512648663","0.00113947750201663","0.000303087755777269"
"Romboutsia__Total","-5.32528973661382e-05","6.49426346232455e-05","0.00111369716946919","0.00184174505910359","0.00171808904441633","0.000981826474781855","0.000240990560404751","-0.000104289989008919","-3.59985708853475e-05","0.000154429017235626","0.000211945190566695","-6.50183174227017e-05"
"Streptococcus__Total","0.390180542634317","0.522879424009152","0.57006282122628","0.588489534208202","0.563049938753626","0.459154258057042","0.288611086831527","0.123255053433442","0.0407665872362847","0.0672901578626338","0.170394840825486","0.299155166170382"
"Terrisporobacter__Total","0.0064474685759514","0.00449744172084941","0.00200518283731191","-0.000277844745234958","-0.00142292913128652","-0.000568351204382382","0.00255162077856029","0.00738702798819856","0.0126452339694058","0.0164833478830632","0.0167773716302798","0.0112548559539561"
"Turicibacter__Total","0.0110949405279898","0.0387131502802526","0.0414841402174604","0.0449653932006435","0.0437660792214246","0.0295281258182935","0.00964528324525469","0.00043043784290207","0.00558301490439621","0.0101412367385297","0.00344472152422218","0.0128137109108105"
"Weissella__Total","0.00452302694221704","0.0481699372314197","0.0349280608038537","0.0163994531321381","0.0130028487068419","0.0220064355711858","0.0299101843406596","0.0262908019521267","0.0134585663730692","0.00235693645186121","-4.27199690295615e-05","0.00370978404158926"
"unclassified-Enterobacteriaceae__Total","0.000461158084881804","0.00108273757132814","0.00656985838820797","-0.00013674149714606","-0.00688197847498288","0.00474753486458334","0.0340070946839963","0.0500220833781482","0.0282200246020008","-0.00356026968093035","-0.00385183208884719","0.00281341759026928"
"unclassified-Pasteurellaceae__Total","0.00716280309294251","0.0100034834128182","0.00677193528253935","0.00250505722433093","0.000112555811289331","0.00120824419436138","0.00526187523069744","0.00796178587632061","0.00544672592357721","0.000688891889561753","-0.00103442845988255","-0.00174601994090878"
"Acinetobacter__Independent","0.000723669515968471","0.00255055668550484","-0.000472747557279645","-0.00109157383502504","0.00084398596138963","0.00182163878817003","-7.13195146229088e-05","-0.00297229409159382","-0.0039759621973546","-0.00249265735995375","-0.000461027321677835","-1.28038146547669e-05"
"Actinobacillus__Independent","0.000811243862517988","0.00201407992101524","0.00192169581035916","0.00134620205082246","0.000832770315104068","0.000613762209309923","0.000698805419960671","0.000993052033410096","0.00135143952727213","0.00159513246140323","0.00150347770464816","0.000792860251608938"
"Campylobacter__Independent","0.00159005646406746","-1.9181984994823e-05","-0.000366412018032823","2.99379589766194e-05","0.000717112607171185","0.00131108423571911","0.00160798428520858","0.00161018789544331","0.00143207103817836","0.0012067805884837","0.00105350510358494","0.00110151808306351"
